IdTbl;Targa;Posizione;Id;SoloTarga;Qta;Elaborato;IdAbbinato;DepositiLiberi;TargaDoppia;NonElaborareTargaDoppia;Note;PosizioneMultipla;Chiusura;PDV
1;CL028TT-201355;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC1F;null
2;GG434AN-247445;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC20;null
3;FX171RF-247455;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC21;null
4;GP242MJ-240945;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC22;null
5;GP745LR-240926;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC23;null
6;BG6. FILA 19;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC24;null
7;FN552DS-241996;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC25;null
8;FZ935DP-216618;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC26;null
9;GJ301PZ-204110;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC27;null
10;GN181FF-251259;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC28;null
11;FN133NE-241124;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC29;null
12;FP589ZN-242088;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC2A;null
13;EZ042RH-244514;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC2B;null
14;X99C5T-248864;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC2C;null
15;GW840HK-248200;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC2D;null
16;FZ935DP-216618;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC2E;null
17;GV817VL-246965;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC2F;null
18;DR126EZ-240638;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC30;null
19;GF325TH-245453;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC31;null
20;GW442LH-251019;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC32;null
21;GG226ZN-208479;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC33;null
22;FC389XX-242645;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC34;null
23;EX670NG-242299;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC35;null
24;GH754JM-244829;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC36;null
25;FG045RF-244774;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC37;null
26;FR778GP-241891;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC38;null
27;FV960VS-236665;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC39;null
28;GK083SA-251184;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC3A;null
29;EZ088WF-251172;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC3B;null
30;BG6. FILA 20;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC3C;null
31;GG067XV-244840;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC3D;null
32;FN822FM-243963;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC3E;null
33;GN220YX-242377;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC3F;null
34;GV615LA-245477;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC40;null
35;FG925HM-241172;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC41;null
36;GC179PK-242364;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC42;null
37;GG461XP-244505;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC43;null
38;FV829AL-216272;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC44;null
39;BG6. FILA 21;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC45;null
40;GD592NL-248991;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC46;null
41;ET804PB-239031;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC47;null
42;FM220EC-244451;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC48;null
43;GN092ZA-244522;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC49;null
44;GF532VS-242148;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC4A;null
45;GP687VW-242002;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC4B;null
46;GN906FJ-244877;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC4C;null
47;FR013ZH-245211;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC4D;null
48;GC237KH-247096;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC4E;null
49;FJ431YL-242132;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC4F;null
50;GA411WH-238790;null;null;null;null;null;null;null;null;null;null;null;0x000000004E1FDC50;null
