IdTbl;Targa;Posizione;Id;SoloTarga;Qta;Elaborato;IdAbbinato;DepositiLiberi;TargaDoppia;NonElaborareTargaDoppia;Note;PosizioneMultipla;Chiusura;PDV
1;BG1. FILA 1;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205743;null
2;GV128PA-242350;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205744;null
3;FX467CC-242354;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205745;null
4;GR939YH-247488;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205746;null
5;GH577HP-229718;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205747;null
6;GV266RL-247490;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205748;null
7;FR020FV-229682;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205749;null
8;GV775ZC-245574;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20574A;null
9;GN346XT-245545;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20574B;null
10;GT661XZ-245170;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20574C;null
11;GX425PP-248747;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20574D;null
12;GB776AJ-248961;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20574E;null
13;EW709FC-234936;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20574F;null
14;GA610AL-249587;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205750;null
15;GK439AR-249277;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205751;null
16;GV282HB-247515;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205752;null
17;GK670LK-219001;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205753;null
18;GG732AL-244107;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205754;null
19;GF570WB-244111;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205755;null
20;FV071VV-244164;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205756;null
21;GL095ZZ-244185;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205757;null
22;GE679TC-244194;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205758;null
23;GJ814DH-250130;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205759;null
24;GT430DH-248922;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20575A;null
25;FY904CC-250651;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20575B;null
26;GK637PT-250647;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20575C;null
27;GP116AY-247487;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20575D;null
28;FR306KD-248710;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20575E;null
29;GL919ZN-214294;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20575F;null
30;FS637ST-244173;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205760;null
31;GM429NR-216763;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205761;null
32;GR919YG-249561;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205762;null
33;GS671JN-249558;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205763;null
34;GG484RE-247524;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205764;null
35;GP240AS-244474;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205765;null
36;GP751VY-244174;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205766;null
37;GC437JR-216198;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205767;null
38;BG1. FILA 2;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205768;null
39;FW133CP-249530;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205769;null
40;GR549ME-249047;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20576A;null
41;GP637VT-232621;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20576B;null
42;GG658RJ-231715;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20576C;null
43;GP362LN-247106;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20576D;null
44;GK655LK-218205;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20576E;null
45;GR191YK-249915;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20576F;null
46;GV714HD-244988;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205770;null
47;GC559GJ-244919;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205771;null
48;FN469KK-244961;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205772;null
49;GN928SK-248754;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205773;null
50;GL441ZP-247514;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205774;null
51;FZ549KL-218211;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205775;null
52;FN439KK-236087;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205776;null
53;GV294LL-244573;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205777;null
54;GP768MX-244131;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205778;null
55;GH677RB-244123;null;null;null;null;null;null;null;null;null;null;null;0x000000004E205779;null
56;GS870LT-244122;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20577A;null
57;GD575BD-246930;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20577B;null
58;GF210ML-246985;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20577C;null
59;GN875GX-249194;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20577D;null
60;GV294ZG-248857;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20577E;null
61;GP227TK-250272;null;null;null;null;null;null;null;null;null;null;null;0x000000004E20577F;null
