IdDeposito;D_IdVeicolo;D_IdUtilizzatore;D_IdAnagrafica;D_IdSchedaLavoro;Quantita;Misura;Modello;Km;Ant_mm;Post_mm;Invernali;Estive;Complete;AllSeason;Prenotazione;AnnoPrenotazione;Note;Data;Probabile_Nostre;Pdv;D_Targa;Appuntamento_Data;Appuntamento;Ora;Pdv_Appuntamento;Fila;DataRinnovo;Posizione;Rimontate;Data_Rimontate;No_Deposito;Nostre;Inviato;Data_Email;D_InseritoData;Inventariato;Note_Inventario;D_ModificatoData;Aggiunta;D_Stato;IdRinnovo;D_ArtCodice;D_ArtCodicePost;D_CarVel;D_CarVelPost;D_MisuraPost;D_Quantita_Post;D_Modello_Post;D_QtaTotale;D_MisuraComplessiva;D_ModelloComplessivo;Chiusura;Telefonata;D_ModificatoPdv;D_ModificatoNome;D_InseritoPdv;D_InseritoNome;D_DataRitiro;D_TipiInvioEmail;D_ListaInvioUltimoInvio;D_DotAnt;D_DotPost;DaPagare;D_Deposito;D_Estive_Invernali_Finite;D_Porta_Via;D_FiniteConserva;D_Firmato_FM;D_NotizieCliente;StatoCerchiQta;StatoCerchiNote;DaRigenerare;NoteInvioSmsEmail;D_TipoDepositoR1;D_TipoDepositoR2;D_DataInventario;CaricatePerMagazzino;DataCaricatePerMagazzino;DataRimandato;D_FirmatoRitiro_FM;D_InvioEmailDeposito;D_InvioEmailPortaVia;D_InvioEmailSmaltimento;D_TipoAppuntamento;Dalle;Alle;D_NotizieClienteDett
251693;220818;null;155058;541247;4;2155518;XL 4SEASONS  GT RADIAL M+S;26443;0;null;False;False;null;True;null;null;null;17/06/2025 00:00:00;null;BG2;GM931MX;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 18:11:57;False;CHIUSO;17/06/2025 18:12:40;null;C;null;2155518-GTR-10881121;;99V;null;null;null;null;0;;;0x000000004E0E9922;null;BG2;Bg2_Ponte3;BG2;Bg2_Ponte3;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;17/06/2025;null;null;null;null
251692;220619;null;154906;541240;2;1756514;XL EcoContact 6  CONTINENTAL EVc;59642;2;null;False;True;null;False;null;null;null;17/06/2025 00:00:00;null;BG4;FJ976YL;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:39:29;False;CHIUSO;17/06/2025 17:40:10;null;C;null;1756514-CON-0311248;;86T;null;null;null;null;0;;;0x000000004E0E95EF;null;BG4;AndreaMonari;BG4;AndreaMonari;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251691;91284;null;39165;541225;4;2055516;CINTURATO WINTER 2  PIRELLI;190000;1,5;null;True;False;null;False;null;null;null;17/06/2025 00:00:00;null;BG3;FH469NP;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:36:25;False;CHIUSO;17/06/2025 17:36:34;null;C;null;2055516-PIR-3931100;;91H;null;null;null;null;0;;;0x000000004E0E9668;null;BG3;Bg3_Ponte1;BG3;Bg3_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;17/06/2025;null;null;null;null
251690;200481;null;26062;541237;2;2156517;PRIMACY 4  MICHELIN MO;18617;0;null;null;True;null;null;null;null;null;17/06/2025 00:00:00;null;BG1;GV948ZG;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:36:07;False;CHIUSO;17/06/2025 17:36:11;null;C;null;2156517-MIC-421991;null;99V;null;null;null;null;0;;;0x000000004E0E9563;null;BG1;BG1_Ponte1;BG1;BG1_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251689;205575;null;92759;541232;4;1956515;XL POWERGY WINTER  PIRELLI;10400;5;null;True;False;null;False;null;null;null;17/06/2025 00:00:00;null;BG3;GR568LZ;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:26:16;False;null;17/06/2025 17:26:27;null;A;null;1956515-PIR-4565900;;95H;null;null;null;null;4;1956515;XL POWERGY WINTER  PIRELLI;0x000000004E0E946F;null;BG3;Bg3_Ponte1;BG3;Bg3_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;DEPOSITO;null;null;False;null;null;XX;null;null;null;null;null;null;null
251688;155512;null;43503;541231;4;2355517;XL SCORPION WINTER  PIRELLI;251978;0;null;True;False;null;False;null;null;null;17/06/2025 00:00:00;null;BG2;FG738YA;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:24:36;False;CHIUSO;17/06/2025 17:25:00;null;C;null;2355517-PIR-2267200;;103V;null;null;null;null;0;;;0x000000004E0E94CE;null;BG2;Bg2_Ponte3;BG2;Bg2_Ponte3;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;17/06/2025;null;null;null;null
251687;122340;null;176;541228;4;2255018;XL CELSIUS AS2  TOYO;196794;1;null;False;False;null;True;null;null;null;17/06/2025 00:00:00;null;BG6;GC303KA;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:16:58;False;CHIUSO;17/06/2025 17:17:19;null;C;null;2255018-TOY-3859300;;99W;null;null;null;null;0;;;0x000000004E0E935D;null;BG6;Bg6_Officina1;BG6;Bg6_Officina1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251686;159035;null;110479;541227;4;1756515;ENERGY SAVER  MICHELIN *;98786;2;null;False;True;null;False;null;null;null;17/06/2025 00:00:00;null;BG7;FM892FA;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:14:46;False;CHIUSO;17/06/2025 17:15:17;null;C;null;1756515-MIC-817598;;84H;null;null;null;null;0;;;0x000000004E0E9303;null;BG7;Bg7_Officina;BG7;Bg7_Officina;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251685;220747;null;88109;541221;4;null;EFFICENT GRIP CARGO;46625;1;null;null;False;null;True;null;null;null;17/06/2025 00:00:00;null;BG5;GG476XF;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 17:06:10;False;CHIUSO;17/06/2025 17:07:04;null;C;null;2156516-GOODYEAR;;null;null;null;null;null;null;null;null;0x000000004E0E9204;null;BG5;Bg5_Officina1;BG5;Bg5_Officina1;null;null;null;1321;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
251684;89005;null;1476;541216;4;2256516;AGILIS +  MICHELIN;252647;1;null;False;True;null;False;null;null;null;17/06/2025 00:00:00;null;BG1;FV472BW;null;null;null;null;False;null;null;null;null;null;False;null;null;17/06/2025 16:42:16;False;CHIUSO;17/06/2025 16:42:35;null;C;null;2256516-MIC-736765;;112/110R;null;null;null;null;0;;;0x000000004E0E9014;null;BG1;BG1_Ponte1;BG1;BG1_Ponte1;null;null;null;null;null;null;null;null;null;null;NO;False;null;null;False;null;SMALTITE;null;null;False;null;null;XX;null;null;null;null;null;null;null
