Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1506017-MET-2450100           ;MET.150/60ZR17 66 W TL SP.M-7 RR                                                                    ;117,52;87,57;31.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;278465              ;null
1506017-MET-3626700           ;MET. 150/60ZR17 66 W TL SPORTEC M9 RR                                                               ;143,12;102,72;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;696083              ;null
1506017-MET-3627400           ;MET. 150/60 R17 66 H TL SPORTEC M9 RR                                                               ;134,27;96,25;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;761224              ;null
1506017-MIC-353471            ;MIC. 150/60ZR17 (66W) TL PIL POWER                                                                  ;105,33;80,12;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;289788              ;null
1506017-MIC-720861            ;MIC. 150/60 R17 66 H TL/TT PIL STREET                                                               ;99,63;75,11;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;293694              ;null
1506017-MIC-818332            ;MICHELIN ROAD-6 150/60ZR17 66 W TL                                                                  ;157,64;120,48;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;753829              ;null
1506017-PIR-2433500           ;PIRELLI MT60RS 150/60 R17 66 H TL                                                                   ;129,37;104,96;20.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;812763              ;null
1506017-PIR-2635300           ;PIR. 150/60ZR17 66 W TL DIABLO ROSSO III                                                            ;116,77;90,5;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;356241              ;null
1506017-PIR-2690600           ;PIR. 150/60 -17 66 S TL ANGEL CITY REAR                                                             ;79,41;61,33;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;344860              ;null
1506017-PIR-2808200           ;PIRELLI RA-STR 150/60 R17 66 H TL                                                                   ;120,46;87,99;32.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;617654              ;null
1506017-PIR-3977700           ;PIR. 150/60ZR17 66 W TL DIABLO ROSSO IV CORSA                                                       ;141,65;105,89;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;757756              ;null
1506017-PIR-3979100           ;PIR. 150/60ZR17 66 W TL DIABLO ROSSO IV                                                             ;145,08;110,23;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;765449              ;null
1506017-PIR-4123000           ;PIRELLI DSC-V4 150/60 R17 66V TL                                                                    ;206,74;172,59;12.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;800124              ;null
1506017-PIR-4454300           ;PIR. 150/60 R17 66 H TL DIABLO ROSSO III                                                            ;107,09;82,93;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;838201              ;null
1506518-CON-0244558           ;CON. 150/65 R18 69 H TL ROAD ATTACK 3                                                               ;172,31;142,85;13.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;642138              ;null
1507013-BRI-3251              ;BRI. 150/70 -13 64 S TL B02                                                                         ;65,59;52,91;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;60234               ;null
1507013-BRI-76806             ;BRI.150/70 -13 64 S TL B02                                                                          ;61,35;44,21;15.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;16965               ;null
1507013-CON-0220066           ;CON. 150/70 -13 64 S TL CONTI SCOOT                                                                 ;53,75;42,01;13.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;664202              ;null
1507013-DEI-DELAW003          ;DELITIRE SC109 150/70 -13 64 S TL                                                                   ;48,81;45,57;5.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;770843              ;null
1507013-DUN-637825            ;DUN 150/70-13 64S TL SCOOTSMART (ID)                                                                ;58,37;43,09;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;750646              ;null
1507013-MIC-434660            ;MIC. 150/70 -13 64 S TL CITY GRIP 2                                                                 ;65,84;52,49;25.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695700              ;null
1507013-MIC-923566            ;MIC. 150/70 -13 64 S TL POWER PURE SC                                                               ;58,68;48,32;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;403954              ;null
1507013-MIT-MIT70000          ;MITAS TOU-SC 150/70 -13 64 S TL                                                                     ;57,72;38,76;21.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;778876              ;null
1507014-AVO-2351811           ;AVO. 150/70 -14 66S TL AM63 REAR                                                                    ;69,45;64,72;8.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;34035               ;null
