NomeListino;CifraIn;CifraOut;Margine;Settore;CostoTrasp;CostoTraspBo;TipoListForn;Note;ID;Chiusura
BASE;0.00;30.00;6.00;Vettura;4.70;3.00;24H;null;1;0x000000036E3660D9
BASE;0.00;30.00;6.00;Vettura;4.70;3.00;48H;null;2;0x000000036E3660DA
BASE;0.00;30.00;6.00;Vettura;0.00;0.00;72H;null;3;0x000000036E3660DB
BASE;0.00;30.00;6.00;MotoScooter;7.50;4.00;24H;null;4;0x0000000368063C94
BASE;0.00;30.00;6.00;MotoScooter;7.50;4.00;48H;null;5;0x0000000368063C97
BASE;0.00;30.00;5.00;MotoScooter;0.00;0.00;72H;null;6;0x000000020DF4F08D
BASE;0.00;223.00;50.00;Autocarro;13.00;7.00;24H;null;7;0x0000000368063C93
BASE;0.00;223.00;25.00;Autocarro;13.00;7.00;48H;null;8;0x00000003653037A3
BASE;0.00;223.00;15.00;Autocarro;0.00;0.00;72H;null;9;0x00000001C1AD1E96
BASE;30.01;40.00;8.00;Vettura;4.70;3.00;24H;null;10;0x000000036E366E89
BASE;30.01;40.00;8.00;Vettura;4.70;3.00;48H;null;11;0x000000036E366E8A
BASE;30.01;40.00;8.00;Vettura;0.00;0.00;72H;null;12;0x000000036E366E8B
BASE;30.01;40.00;7.00;MotoScooter;7.50;4.00;24H;null;13;0x0000000368063CAB
BASE;30.01;40.00;7.00;MotoScooter;7.50;4.00;48H;null;14;0x0000000368063CAA
BASE;30.01;40.00;7.00;MotoScooter;0.00;0.00;72H;null;15;0x0000000368063CA9
BASE;40.01;50.00;9.00;Vettura;4.70;3.00;24H;null;16;0x000000036E366E8D
BASE;40.01;50.00;9.00;Vettura;4.70;3.00;48H;null;17;0x000000036E366E8E
BASE;40.01;50.00;9.00;Vettura;0.00;0.00;72H;null;18;0x000000036E366E8F
BASE;40.01;50.00;8.00;MotoScooter;7.50;4.00;24H;null;19;0x0000000368063CB8
BASE;40.01;50.00;8.00;MotoScooter;7.50;4.00;48H;null;20;0x0000000368063CBB
BASE;40.01;50.00;8.00;MotoScooter;0.00;0.00;72H;null;21;0x0000000368063CBE
BASE;50.01;60.00;10.00;Vettura;4.70;3.00;24H;null;22;0x000000036E366E91
BASE;50.01;60.00;10.00;Vettura;4.70;3.00;48H;null;23;0x000000036E366E92
BASE;50.01;60.00;10.00;Vettura;0.00;0.00;72H;null;24;0x000000036E366E93
BASE;50.01;60.00;9.00;MotoScooter;7.50;4.00;24H;null;25;0x000000020DF4F094
BASE;50.01;60.00;9.00;MotoScooter;7.50;4.00;48H;null;26;0x000000020DF4F095
