NomeListino;CifraIn;CifraOut;Margine;Marg+;Marg-;Settore;CostoTrasportoIt;ProvvPiatt;TipoListForn;Chiusura;Id;Marg-Estivo;Marg-AS;Marg-Invernale
TYRE24;0.00;30.00;5.50;0.00;2.00;Vettura;4.40;1.30;24H;0x00000006948B6607;57;0.00;0.00;0.00
TYRE24;30.01;40.00;6.50;0.00;2.50;Vettura;4.40;1.30;24H;0x00000006948B6608;58;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;Vettura;4.40;1.30;24H;0x00000006948B6609;59;0.00;0.00;0.00
TYRE24;50.01;60.00;9.00;0.00;3.00;Vettura;4.40;1.30;24H;0x00000006948B660A;60;0.00;0.00;0.00
TYRE24;60.01;75.00;12.50;0.00;5.00;Vettura;4.40;1.30;24H;0x00000006948B660B;61;0.00;0.00;0.00
TYRE24;75.01;90.00;14.00;0.00;5.00;Vettura;4.40;1.30;24H;0x00000006948B660C;62;0.00;0.00;0.00
TYRE24;90.01;110.00;16.00;0.00;5.00;Vettura;4.40;1.30;24H;0x00000006948B660D;63;0.00;0.00;0.00
TYRE24;110.01;130.00;18.00;0.00;5.00;Vettura;4.40;1.30;24H;0x00000006948B660E;64;0.00;0.00;0.00
TYRE24;130.01;160.00;23.00;0.00;7.00;Vettura;4.40;1.30;24H;0x00000006948B660F;65;0.00;0.00;0.00
TYRE24;160.01;190.00;29.00;0.00;10.00;Vettura;4.40;1.30;24H;0x00000006948B6610;66;0.00;0.00;0.00
TYRE24;190.01;230.00;33.00;0.00;10.00;Vettura;4.40;1.30;24H;0x00000006948B6611;67;0.00;0.00;0.00
TYRE24;230.01;270.00;35.00;0.00;10.00;Vettura;4.40;1.30;24H;0x00000006948B6612;68;0.00;0.00;0.00
TYRE24;270.01;300.00;35.00;0.00;10.00;Vettura;4.40;1.30;24H;0x00000006948B6613;69;0.00;0.00;0.00
TYRE24;300.01;9999.00;35.00;0.00;10.00;Vettura;4.40;1.30;24H;0x00000006948B6614;70;0.00;0.00;0.00
TYRE24;0.00;223.00;25.00;0.00;0.00;Autocarro;13.00;1.30;24H;0x00000006948B6615;71;0.00;0.00;0.00
TYRE24;224.00;260.00;35.00;0.00;0.00;Autocarro;13.00;1.30;24H;0x00000006948B6616;72;0.00;0.00;0.00
TYRE24;0.00;30.00;7.00;0.00;3.00;MotoScooter;4.40;2.50;24H;0x00000006948B6617;73;0.00;0.00;0.00
TYRE24;30.01;40.00;8.00;0.00;3.00;MotoScooter;4.40;2.50;24H;0x00000006948B6618;74;0.00;0.00;0.00
TYRE24;40.01;50.00;8.50;0.00;3.00;MotoScooter;4.40;2.50;24H;0x00000006948B6619;75;0.00;0.00;0.00
TYRE24;50.01;60.00;10.00;0.00;3.00;MotoScooter;4.40;2.50;24H;0x00000006948B661A;76;0.00;0.00;0.00
TYRE24;60.01;75.00;11.00;0.00;3.00;MotoScooter;4.40;2.50;24H;0x00000006948B661B;77;0.00;0.00;0.00
