IDARTICO;QTTN;PdvUltImp;DataUltImp
609341;0;null;null
622117;0;null;null
606592;0;null;null
43992;0;null;null
589735;0;null;null
63907;1;BG4 - Impegno Cliente BG4 (Bologna Gomme4);45821
622963;0;null;null
606650;0;null;null
614126;0;null;null
614229;0;null;null
570638;4;BG2 - Impegno Cliente BG2 (Bologna Gomme2);45824
513258;0;null;null
522441;0;null;null
608545;0;null;null
582880;0;null;null
624181;0;null;null
579425;0;null;null
510073;0;null;null
609130;0;null;null
590025;0;null;null
501158;0;null;null
523347;0;null;null
552569;0;null;null
582248;0;null;null
501375;0;null;null
616516;0;null;null
549627;0;null;null
542054;0;null;null
501188;0;null;null
501121;0;null;null
520457;0;null;null
591484;0;null;null
99910;0;null;null
605437;0;null;null
592260;0;null;null
518560;0;null;null
501397;0;null;null
518602;0;null;null
589456;0;null;null
527782;0;null;null
501151;0;null;null
573827;0;null;null
606473;0;null;null
573608;0;null;null
606734;0;null;null
594845;0;null;null
523043;0;null;null
578712;0;null;null
577470;0;null;null
581999;0;null;null
513249;0;null;null
576803;0;null;null
583924;0;null;null
568026;0;null;null
605747;0;null;null
553683;0;null;null
600750;0;null;null
576033;0;null;null
577219;0;null;null
567977;0;null;null
601400;0;null;null
520268;0;null;null
526319;0;null;null
501177;0;null;null
501375;0;null;null
586478;0;null;null
552800;0;null;null
621008;0;null;null
501329;0;null;null
573022;0;null;null
602276;0;null;null
516983;1;BG4 - Impegno Cliente BG4 (Bologna Gomme4);45773
551411;0;null;null
580501;0;null;null
501391;0;null;null
513100;0;null;null
619999;0;null;null
551431;0;null;null
501161;0;null;null
620734;4;CIIB5 - AD TYRES INTERNATIONAL FR;45824
589902;4;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45817
598982;0;null;null
595608;75;CIIB5 - T4TYRES BV;45793
501249;0;null;null
609356;0;null;null
510043;0;null;null
580930;0;null;null
552706;0;null;null
590095;0;null;null
599016;0;null;null
607289;0;null;null
605801;0;null;null
606199;0;null;null
512534;2;BG7 Funo - Impegno Cliente BG3 (Bologna Gomme3);45821
583925;0;null;null
602261;0;null;null
611964;0;null;null
573527;0;null;null
501144;0;null;null
602612;0;null;null
559484;0;null;null
501188;0;null;null
607443;0;null;null
611736;0;null;null
609932;0;null;null
526324;0;null;null
521812;0;null;null
611784;0;null;null
566394;0;null;null
607300;0;null;null
553384;0;null;null
611760;0;null;null
611772;0;null;null
553156;0;null;null
581483;0;null;null
592667;0;null;null
510025;0;null;null
63776;0;null;null
599716;0;null;null
602407;0;null;null
589456;0;null;null
584626;0;null;null
609827;0;null;null
501175;0;null;null
552569;0;null;null
501308;0;null;null
582887;0;null;null
574066;0;null;null
609307;0;null;null
64180;0;null;null
602267;0;null;null
571608;2;BG7 Funo - Impegno Cliente BG7 Bologna Gomme7 Funo;45645
609771;0;null;null
576609;0;null;null
598676;0;null;null
601749;0;null;null
583923;0;null;null
597164;0;null;null
594275;0;null;null
589957;0;null;null
594070;0;null;null
605958;0;null;null
501131;0;null;null
513238;0;null;null
600600;1;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45814
519584;0;null;null
585077;0;null;null
573380;0;null;null
576071;0;null;null
594904;0;null;null
602612;4;BG1 - Impegno Cliente BG1 (Bologna Gomme1);45779
98097;0;null;null
525753;1;BG3 - Impegno Cliente BG3 (Bologna Gomme3);45821
549621;0;null;null
523510;0;null;null
570157;0;null;null
501152;0;null;null
584209;0;null;null
501359;0;null;null
609925;0;null;null
564134;0;null;null
616839;0;null;null
501287;0;null;null
520303;0;null;null
580411;0;null;null
594394;0;null;null
605775;0;null;null
598247;0;null;null
589742;0;null;null
56405;0;null;null
609527;0;null;null
592448;0;null;null
523682;0;null;null
618904;0;null;null
501138;0;null;null
572565;0;null;null
