IDARTICO;QTTN
42990;0
43623;0
43992;0
47891;0
48052;0
51001;0
52050;0
52109;0
52457;0
52563;0
52564;0
55569;0
55650;0
55653;0
55662;0
55664;0
55940;0
56074;0
56085;0
56096;0
56127;0
56130;0
56131;0
56134;0
56227;0
56346;0
56351;0
56353;0
56361;0
56363;0
56364;0
56365;0
56392;0
56393;0
56394;0
56404;0
56405;0
56410;0
56422;0
56442;0
56462;0
57434;0
58377;0
59864;0
59888;0
61937;0
63330;0
63624;0
63626;0
63636;0
63641;0
63643;0
63776;0
63907;0
63913;0
64161;0
64168;0
64169;0
64180;0
64214;0
64471;0
65031;0
65213;0
65280;0
65380;0
65385;0
65467;0
65794;0
66024;0
66222;0
66570;0
66594;0
77848;0
77861;0
77886;0
77890;0
77892;0
77928;0
77945;0
77990;0
78035;0
78057;0
78062;0
78075;0
78076;0
78078;0
78099;0
78100;0
78111;0
78121;0
78156;0
78172;0
78226;0
78227;0
78246;0
81099;0
83697;1
83699;1
94875;0
96707;0
96709;0
96717;0
96718;0
96719;0
96720;0
96728;0
96730;0
96731;0
96732;0
96738;0
96743;0
96745;0
96752;0
96758;0
96759;0
96765;0
96767;0
96769;0
96776;0
96778;0
96779;0
96783;0
96789;0
96860;0
97855;0
97892;0
97915;0
98097;0
98103;0
98490;0
98569;0
98650;0
98681;0
98739;0
98741;0
98747;0
98751;0
98764;0
98799;0
98800;0
98801;0
98811;0
98813;0
98818;0
98819;0
98822;0
98823;0
98826;0
98831;0
98921;0
98922;0
99302;0
99905;0
99906;0
99907;0
99908;0
99909;0
99910;0
99911;0
99912;0
99913;0
99914;0
99915;0
100047;0
100408;0
100436;0
100437;0
100442;0
102298;0
102346;0
102378;0
102408;0
102536;0
102544;0
102548;0
102556;0
102583;0
102616;0
102696;0
102701;0
102702;0
102710;0
102717;0
102755;0
102794;0
102795;0
102804;0
102805;0
102806;0
102814;0
102815;0
102820;0
102877;0
102878;0
102880;0
103094;0
103108;0
103346;0
500040;0
500044;0
500434;0
500572;0
501038;0
501121;0
501127;0
501128;0
501129;0
501130;0
501131;1
501132;0
501133;0
501134;0
501135;0
501136;0
501137;2
501138;0
501139;0
501140;0
501142;0
501144;1
501145;0
501146;0
501147;0
501148;0
501149;0
501150;0
501151;6
501152;0
501153;0
501154;0
501155;0
501156;0
501157;0
501158;0
501159;0
501160;0
501161;0
501162;0
501163;0
501164;0
501165;0
501167;0
501168;0
501169;0
501170;0
