Id_Articoli	Art_IdSchedaLavoro	Art_IdVeicolo	Art_IdArtico	Art_Codice	Art_Qta	Art_Misura	Art_Descrizione	Art_DOT	Art_Prezzo	Art_Fascia	Art_Marca	Art_CD_IdLotto	Art_PrezzoUnit	Art_LottoForzato	Art_Chiusura	Art_PrezzoRigaImp
237697	322424	89573	583926	@MS_STAG_CLI	4.00		Ms Estive/Winter (Porta Cliente) Cerchio Lega		40,02	X	MANODOPERA                              	null	8.20	null	0x000000002097581E	32.80
237698	322424	89573	518527	@7VALVR	4.00		Valvola tubeless		5,03	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.03	null	0x000000002097581F	4.12
237730	322424	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE Abbuoni Vettura		-65,04	X	Abbuoni Vettura                         	null	-53.31	null	0x0000000020975835	-53.31
1037360	469438	89573	583925	@MS_STAG_DEP	4.00		"MONTAGGIO STAGIONALE CERCHIO 18""/19"" (DEP)"		44,99	X	MANODOPERA                              	null	9.22	null	0x0000000030E3EF0D	36.88
1037361	469438	89573	518527	@7VALVR	4.00		VALVOLA TUBELESS		5,03	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.03	null	0x0000000030E3EF0E	4.12
1037552	469438	89573	597945	@NOTETAGLIANDO	1.00		MANUTENZIONE TAGLIANDO		0	X	ACCESSORI  NON RIVENDUTI                	null	0.00	null	0x0000000030F3113A	0.00
1037553	469438	89573	605536	CAF2276.01	1.00		FILTRO ABITACOLO		15,49	X	MECCANICA LEGGERA                       	null	12.70	True	0x0000000030F31161	12.70
1037554	469438	89573	602340	2603800	1.00		FILTRO CARBURANTE		61,85	X	MECCANICA                               	null	50.70	True	0x0000000030F31167	50.70
849099	403389	89573	518566	@7RIP3	1.00		Riparazione Fungo o Pezza + Eq		20	X	MANODOPERA                              	null	16.39	False	0x00000000209FFD3C	16.39
1037555	469438	89573	575502	OX787D	1.00		FILTRO OLIO OX787D		20,37	X	KNECHT                                  	null	16.70	True	0x0000000030F3116A	16.70
1037556	469438	89573	605535	EAF3612.10	1.00		FILTRO ARIA		24,4	X	MECCANICA LEGGERA                       	null	20.00	True	0x0000000030F3116E	20.00
1037557	469438	89573	598267	@7OLIO0W30GRVW	4.70		OLIO MOTUL 504.00 507.00 0W30 GRUPPO VW		103,44	X	MECCANICA LEGGERA                       	null	18.04	null	0x0000000030F3115C	84.79
1037558	469438	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE		-297,58	X	Abbuoni Vettura                         	null	-243.92	null	0x0000000030F31175	-243.92
1114937	500419	89573	583925	@MS_STAG_DEP	4.00		"MONTAGGIO STAGIONALE CERCHIO 18""/19"" (DEP)"		44,99	X	MANODOPERA                              	null	9.22	null	0x000000003DB808A2	36.88
1114938	500419	89573	518527	@7VALVR	4.00		VALVOLA TUBELESS		5,03	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.03	null	0x000000003DB808A3	4.12
1114940	500419	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE		-72	X	Abbuoni Vettura                         	null	-59.02	null	0x000000003DD924D0	-59.02
865559	408125	89573	518566	@7RIP3	1.00		Riparazione Fungo o Pezza + Eq		20	X	MANODOPERA                              	null	16.39	null	0x0000000020A034F5	16.39
865562	408125	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE 		-20	X	Abbuoni Vettura                         	null	-16.39	null	0x0000000020A034F7	-16.39
814381	393324	89573	589959	V5G6959752CFAIF	1.00		CHIAVE V5G6959752 		198,86	X	VW                                      	null	163.00	null	0x00000000209F8AB0	163.00
816058	393324	89573	552555	@7LAVAGGIO	1.00		LAVAGGIO AUTO 		18	X	MANODOPERA                              	null	14.75	False	0x00000000209F9009	14.75
1180664	523297	89573	583925	@MS_STAG_DEP	4.00		"MONTAGGIO STAGIONALE CERCHIO 18""/19"" (DEP)"		44,99	X	MANODOPERA                              	null	9.22	null	0x000000004819A534	36.88
1180674	523297	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE		-59,62	X	Abbuoni Vettura                         	null	-48.87	null	0x000000004819A64A	-48.87
1078642	484346	89573	501121	@7ASV	1.00		ASSETTO RUOTE ANTERIORE		38	X	MANODOPERA                              	null	31.15	null	0x0000000036551040	31.15
1078643	484346	89573	501144	@7INV	1.00		INVERSIONE + EQUILIBRATURA PNEUMATICO		40	X	MANODOPERA                              	null	32.79	null	0x0000000036551041	32.79
1078677	484346	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE		-77,99	X	Abbuoni Vettura                         	null	-63.93	null	0x000000003654EE5A	-63.93
1133232	507144	181238	583925	@MS_STAG_DEP	4.00		"MONTAGGIO STAGIONALE CERCHIO 18""/19"" (DEP)"		18,54	X	MANODOPERA                              	null	3.80	null	0x0000000040A1B408	15.20
1133233	507144	181238	501137	@7EQUIVET	4.00		EQUILIBRATURA PNEUMATICO		25,38	X	MANODOPERA                              	null	5.20	null	0x0000000040A1B410	20.80
1144835	507144	181238	501128	@7ASC	1.00		CONVERGENZA COMPLETA		37,82	X	MANODOPERA                              	null	31.00	null	0x0000000040A1B40A	31.00
1144836	507144	181238	518527	@7VALVR	4.00		VALVOLERIMONTAGGIO STAGIONALE		7,32	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.50	null	0x0000000040A1B40B	6.00
1144837	507144	181238	606778	@7PRRICV	1.00		PRESA ERICONSEGNA VETTURA		46,36	X	MANODOPERA                              	null	38.00	null	0x0000000040A1B40C	38.00
1144838	507144	181238	567916	@7ACG	1.00		ADDEBITO COSTI DI GESTIONE		-3,88	X	Abbuoni Vettura                         	null	-3.18	null	0x0000000040A1B40D	-3.18
825775	396662	89573	583925	@MS_STAG_DEP	4.00		"Montaggio stagionale cerchio 18""/19"" (DEP)"		44,99	X	MANODOPERA                              	null	9.22	null	0x00000000209FB0C6	36.88
825776	396662	89573	518527	@7VALVR	4.00		Valvola tubeless		5,03	X	MATERIALE CONSUMO VETTURA MOTO          	null	1.03	null	0x00000000209FB0C7	4.12
885469	414318	89573	597945	@NOTETAGLIANDO	1.00		MANUTENZIONE TAGLIANDO 		0	X	ACCESSORI                               	null	0.00	null	0x0000000020A079A9	0.00
885470	414318	89573	501235	@7FILTROOLIO	1.00		FILTRO OLIO VETTURA 		7,95	X	MECCANICA LEGGERA                       	null	6.52	True	0x0000000020A079AA	6.52
885471	414318	89573	501234	@7FILTROARIA	1.00		FILTRO ARIA VETTURA 		10,43	X	MECCANICA LEGGERA                       	null	8.55	True	0x0000000020A079AB	8.55
885472	414318	89573	501236	@7FILTROABI	1.00		FILTRO ABITACOLO VETTURA 		9,17	X	MECCANICA LEGGERA                       	null	7.52	True	0x0000000020A079AC	7.52
885473	414318	89573	501237	@7FILTROCARB	1.00		FILTRO CARBURANTE VETTURA 		26,57	X	MECCANICA LEGGERA                       	null	21.78	True	0x0000000020A079AD	21.78
885474	414318	89573	501260	@7PASTIGLIEV	1.00		PASTIGLIE FRENO VETTURA 		40,36	X	MECCANICA LEGGERA                       	null	33.08	True	0x0000000020A079AE	33.08
788496	384930	89573	501185	@7RICV	1.00		BATTERIA		135,04	X	FIAT                                    	null	110.69	True	0x00000000209F38AA	110.69
788532	384930	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE (AUTO NELLO)		-135,04	X	Abbuoni Vettura                         	null	-110.69	null	0x00000000209F38C6	-110.69
885475	414318	89573	598267	@7OLIO0W30GRVW	4.70		OLIO MOTUL 504.00 507.00 0W30 GRUPPO VW 		34,4	X	MECCANICA LEGGERA                       	null	6.00	null	0x0000000020A079AF	28.20
885476	414318	89573	562861	@7ADBLUELT	5.00		ADBLUE LITRO 		6,1	X	MECCANICA LEGGERA                       	null	1.00	null	0x0000000020A079B0	5.00
885477	414318	89573	573843	@7LAVCONC	0.50		DETERGENTE LAVAVETRI ANTIGELO 		0,01	X	MECCANICA LEGGERA                       	null	0.01	null	0x0000000020A079B1	0.01
885485	414318	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE 		-134,99	X	Abbuoni Vettura                         	null	-110.65	null	0x0000000020A079B7	-110.65
1042185	471296	89573	501211	@7VALV	1.00		VALVOLA TBL VETTURA - 4X4 - TL		1	X	MATERIALE CONSUMO VETTURA MOTO          	null	0.82	null	0x0000000031D7CBB6	0.82
1018226	461449	181238	560625	2356018-PIR-3108400	4.00	2356018	235/60R18 103V (AR) PIRELLI SCORPION WINTER	3222	916,07	A 	PIRELLI                                 	null	187.72	null	0x000000002CC1FC31	750.88
807482	390522	89573	562861	@7ADBLUELT	10.00		ADBLUE LITRO 		25,01	X	MECCANICA LEGGERA                       	null	2.05	null	0x00000000209F7734	20.50
807483	390522	89573	564078	@7ABBDIR	1.00		ABBUONO DIREZIONALE 		-25	X	Abbuoni Vettura                         	null	-20.49	null	0x00000000209F7735	-20.49
1239569	544621	181238	501144	@7INV	1.00		INVERSIONE + EQUILIBRATURA PNEUMATICO		26,84	X	MANODOPERA                              	null	22.00	null	0x0000000050500D46	22.00
1239590	544621	181238	606778	@7PRRICV	1.00		PRESA E RICONSEGNA VETTURA		67,1	X	ACCESSORI	null	55.00	null	0x0000000050500D45	55.00
1239591	544621	181238	501128	@7ASC	1.00		(LC) CONVERGENZA COMPLETA		41,48	X	MANODOPERA                              	null	34.00	null	0x0000000050500D41	34.00
969261	442838	89573	583925	@MS_STAG_DEP	4.00		"MONTAGGIO STAGIONALE CERCHIO 18""/19"" (DEP)"		44,99	X	MANODOPERA                              	null	9.22	null	0x00000000273851D2	36.88
