
Dati Storia Schede Lavoro e Deposito
ID	IdSchedaLavoro	Data Lavori	Km	Quantita	CodiceArticolo	DOT	Stato	External_Id__c Pneumatico che credo sia da abbinare	IdDeposito di Questa Scheda Lavoro	Pneumatico in Deposito	DOT	ChiaveId Dell'anagrafica Pneumatico che credo sia il corretto	Stato	Note
1	444666	19/10/23	17000	2	2854022-PIR-3992900	3622	Montaggio (Nuove)-Inv.	171590_584502_3622_444666	194733	2854022-PIR-3109700	3622	171590_579588_3622_444666	Depositato	Prelevato da riga ID 4
2	444666	19/10/23	17000	2	3253522-PIR-3993000	3622	Montaggio (Nuove)-Inv.	171590_584503_3622_444666	194733	3253522-PIR-4203000	3822	171590_597291_3822_444666	Smaltite	Smaltite erano le originali mai montate da noi
3	479279	15/05/24	27000	2	3253522-PIR-4203000	0524	Montaggio (Nuove)-Est.	171590_597291_0524_479279	216378	2854022-PIR-3992900		171590_584502_3622_444666	Deposito	Deposito della riga ID 1
4	479279	15/05/24	27000	2	@MS_STAG_DEP		Rimontaggio Deposito-Est.	171590_579588_3622_444666	216378	3253522-PIR-3993000		171590_584503_3622_444666	Deposito	Deposito della riga ID 2
5	481630	27/05/24	27100	2	2854022-PIR-3109700	0524	Montaggio (Nuove)-Est.	171590_579588_0524_481630	217882	2854022-PIR-3109700		171590_579588_3622_444666	Smaltite	La gomma rimontata nella scheda  479279 riga ID 4
6	481630	27/05/24	27100	1	3253522-PIR-4203000	0524	Montaggio (Nuove)-Est.	171590_597291_0524_481630	217882	3253522-PIR-4203000		171590_597291_0524_479279	Smaltite	Le gomme montate nella scheda  479279 riga ID 3
7	505233	05/11/24	36300	4	@MS_STAG_DEP		Rimontaggio Deposito-Inv.	171590_584502_3622_444666 	229808	2854022-PIR-3109700		171590_579588_0524_481630	Smaltite	Le gomme montate nella scheda  481630 riga ID 5
								171590_584503_3622_444666	229808	3253522-PIR-4203000		171590_597291_0524_481630	Smaltite	Le gomme montate nella scheda  481630 riga ID 6
8	540304	10/06/25	48000	2	2854022-PIR-4218500	0825	Montaggio (Nuove)-Est.	171590_593852_0825_540304	251328	2854022-PIR-3992900		171590_584502_3622_444666	Deposito	Le gomme montate nella scheda  505233 riga ID 7
9	540304	10/06/25	48000	2	3253522-PIR-4251200	0825	Montaggio (Nuove)-Est.	171590_597316_0825_540304	251328	3253522-PIR-3993000		171590_584503_3622_444666	Deposito	Le gomme montate nella scheda  505233 riga ID 7
														
														
Anagrafica Pneumatico														
External_Id__c	Veicolo__r:Veicolo__c:External_ID__c	Prodotto__r:Product2:External_Id__c	DOT__c	Diametro__c	Quantita__c	Larghezza__c	Marca__c	Name	Spalla__c	Stagione__c	Stato__c			
171590_579588_0524_481630	171590	579588	524	22	2.00	285	PIRELLI                                 	2854022_110Y_E_PIRELLI	40	ESTIVO	Smaltita			
171590_579588_3622_444666	171590	579588	3622	22	1.00	285	PIRELLI                                 	2854022_110Y_E_PIRELLI	40	ESTIVO	Smaltita			
171590_584502_3622_444666	171590	584502	3622	22	2.00	285	PIRELLI                                 	2854022_110V_I_PIRELLI	40	INVERNALE	Depositata			
171590_584503_3622_444666	171590	584503	3622	22	2.00	325	PIRELLI                                 	3253522_114V_I_PIRELLI	35	INVERNALE	Depositata			
171590_593852_0825_540304	171590	593852	825	22	2.00	285	PIRELLI                                 	2854022_110Y_E_PIRELLI	40	ESTIVO	Montata			
171590_597291_0524_481630	171590	597291	524	22	1.00	325	PIRELLI                                 	3253522_114Y_E_PIRELLI	35	ESTIVO	Smaltita			
171590_597291_0524_479279	171590	597291	524	22	2.00	325	PIRELLI                                 	3253522_114Y_E_PIRELLI	35	ESTIVO	Smaltita			
171590_597291_3822_444666	171590	597291	3822	22	1.00	325	PIRELLI                                 	3253522_114Y_E_PIRELLI	35	ESTIVO	Smaltita			
171590_597316_0825_540304	171590	597316	825	22	2.00	325	PIRELLI                                 	3253522_114Y_E_PIRELLI	35	ESTIVO	Montata			


Anagrafica Pneumatico Stored
External_Id__c	IdVeicolo	CodiceArticolo	IdArticolo	DOT__c	Quantita__c	FirstSeenData	Fonte	Fonte_SchedaLavoro	Fonte_IdDeposito	StatoCorrente	LastEventoData	Last_IdSchedaLavoro	Last_IdDeposito	CreatedAtUtc	ModifiedAtUtc
171590_579588_3622_444666	171590	2854022-PIR-3109700	579588	3622	1.00	2023-10-18 00:00:00.000	DEP	444666	194733	Montata	2024-05-15 08:22:27.000	479279	194733	2025-08-08 14:03:06.288	2025-08-08 14:03:06.351
171590_584502_3622_444666	171590	2854022-PIR-3992900	584502	3622	2.00	2023-10-19 17:42:35.000	SL	444666	NULL	Montata	2024-11-05 10:57:08.000	505233	216378	2025-08-08 14:03:06.288	2025-08-08 14:03:06.351
171590_584503_3622_444666	171590	3253522-PIR-3993000	584503	3622	2.00	2023-10-19 17:42:35.000	SL	444666	NULL	Montata	2024-11-05 10:57:08.000	505233	216378	2025-08-08 14:03:06.288	2025-08-08 14:03:06.351
171590_597291_0524_479279	171590	3253522-PIR-4203000	597291	0524	2.00	2024-05-15 08:22:27.000	SL	479279	NULL	Smaltita	2024-05-27 00:00:00.000	481630	217882	2025-08-08 14:03:06.288	2025-08-08 14:03:06.351
171590_597291_0524_481630	171590	3253522-PIR-4203000	597291	0524	1.00	2024-05-27 10:13:27.000	SL	481630	NULL	Smaltita	2024-11-05 00:00:00.000	505233	229808	2025-08-08 14:03:06.288	2025-08-08 14:03:06.351
171590_579588_0524_481630	171590	2854022-PIR-3109700	579588	0524	2.00	2024-05-27 10:13:27.000	SL	481630	NULL	Smaltita	2024-11-05 00:00:00.000	505233	229808	2025-08-08 14:03:06.288	2025-08-08 14:03:06.335
171590_597316_0825_540304	171590	3253522-PIR-4251200	597316	0825	2.00	2025-06-10 09:07:18.000	SL	540304	NULL	Montata	2025-06-10 09:07:18.000	540304	NULL	2025-08-08 14:03:06.288	2025-08-08 14:03:06.335
171590_593852_0825_540304	171590	2854022-PIR-4218500	593852	0825	2.00	2025-06-10 09:07:18.000	SL	540304	NULL	Montata	2025-06-10 09:07:18.000	540304	NULL	2025-08-08 14:03:06.288	2025-08-08 14:03:06.335
