COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;COLLATION_NAME
Id_Articoli;1;NULL;NO;int;NULL;10;0;NULL;NULL
Art_IdSchedaLavoro;2;NULL;NO;int;NULL;10;0;NULL;NULL
Art_IdVeicolo;3;NULL;NO;int;NULL;10;0;NULL;NULL
Art_IdArtico;4;NULL;YES;int;NULL;10;0;NULL;NULL
Art_Codice;5;NULL;YES;nvarchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Art_Qta;6;((0));YES;decimal;NULL;6;2;NULL;NULL
Art_Misura;7;NULL;YES;nvarchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Art_Descrizione;8;NULL;YES;nvarchar;255;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Art_DOT;9;NULL;YES;nvarchar;5;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Art_Prezzo;10;((0));YES;float;NULL;53;NULL;NULL;NULL
Art_Fascia;11;NULL;YES;nvarchar;5;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Art_Marca;12;NULL;YES;nvarchar;60;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Art_CD_IdLotto;13;NULL;YES;int;NULL;10;0;NULL;NULL
Art_PrezzoUnit;14;((0));YES;decimal;NULL;8;2;NULL;NULL
Art_LottoForzato;15;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Art_Chiusura;16;NULL;YES;timestamp;NULL;NULL;NULL;NULL;NULL
Art_PrezzoRigaImp;17;((0));YES;decimal;NULL;8;2;NULL;NULL
