COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;COLLATION_NAME
IdSchedaLavoro;1;NULL;NO;int;NULL;10;0;NULL;NULL
S_IdAnagrafica;2;NULL;NO;int;NULL;10;0;NULL;NULL
S_IdVeicolo;3;NULL;NO;int;NULL;10;0;NULL;NULL
S_IdUtilizzatore;4;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Pdv;5;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Km;6;NULL;NO;int;NULL;10;0;NULL;NULL
Data_Lavori;7;NULL;NO;datetime;NULL;NULL;NULL;3;NULL
S_OffLimits;8;NULL;YES;nvarchar;2;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_ConfImpPneumatici;9;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
OreMeccanicaReali;10;NULL;YES;decimal;NULL;8;2;NULL;NULL
S_NImpPneumatici;11;NULL;YES;int;NULL;10;0;NULL;NULL
CodCli_LC_FatturaBolla;12;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Modello;13;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Modello_Post;14;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
GruppoLavoro;15;NULL;YES;nvarchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Runflat;16;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
Cerchio;17;NULL;YES;smallint;NULL;5;0;NULL;NULL
Misura_Vecchi;18;NULL;YES;int;NULL;10;0;NULL;NULL
Misura_Post_Vecchi;19;NULL;YES;int;NULL;10;0;NULL;NULL
Modello_Vecchi;20;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
S_NsOffMobile;21;NULL;YES;bit;NULL;NULL;NULL;NULL;NULL
S_TipoPagamento;22;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Ms_Estive_Invernali;23;NULL;YES;int;NULL;10;0;NULL;NULL
