COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;COLLATION_NAME
IdVeicolo;1;NULL;NO;int;NULL;10;0;NULL;NULL
V_IdAnagrafica;2;NULL;NO;int;NULL;10;0;NULL;NULL
V_IdUtilizzatore;3;NULL;YES;int;NULL;10;0;NULL;NULL
TipologiaVeicolo;4;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Targa;5;NULL;NO;nvarchar;128;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Marca;6;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Modello;7;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_MisuraPneumaticiAnt;8;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_MisuraPneumaticiPost;9;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_LeasingCompany;10;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
N_Telaio;11;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
KmAnno;12;NULL;YES;int;NULL;10;0;NULL;NULL
FrequenzaVisite;13;NULL;YES;int;NULL;10;0;NULL;NULL
N_SchedaLavoro;14;NULL;YES;int;NULL;10;0;NULL;NULL
UltimaVisita;15;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_Archiviato;16;NULL;YES;nvarchar;4;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_TipoPneumLc;17;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
Chiusura;18;NULL;YES;timestamp;NULL;NULL;NULL;NULL;NULL
V_Note;19;NULL;YES;nvarchar;510;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
UltimaMisuraMovimentata;20;NULL;YES;nvarchar;50;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_ModificatoPdv;21;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_ModificatoData;22;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_ModificatoNome;23;NULL;YES;nvarchar;30;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_InseritoData;24;NULL;YES;datetime;NULL;NULL;NULL;3;NULL
V_InseritoPdv;25;NULL;YES;varchar;20;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_InseritoNome;26;NULL;YES;nvarchar;30;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_NoteRichMan;27;NULL;YES;varchar;80;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_Tpms;28;((0));YES;bit;NULL;NULL;NULL;NULL;NULL
V_PortaleLeasing;29;NULL;YES;varchar;40;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
V_NCabina;30;NULL;YES;varchar;15;NULL;NULL;NULL;SQL_Latin1_General_CP1_CI_AS
